key,ja,en,zh
ransack.all,全て,all,所有
ransack.and,と,and,并且
ransack.any,いずれか,any,任意
ransack.asc,昇順,ascending,升序
ransack.attribute,属性,attribute,属性
ransack.combinator,組み合わせ,combinator,条件组合(combinator)
ransack.condition,状態,condition,条件
ransack.desc,降順,descending,降序
ransack.or,あるいは,or,或者
ransack.predicate,は以下である,predicate,基于(predicate)
ransack.predicates.blank,は空である,is blank,为空
ransack.predicates.cont,は以下を含む,contains,包含
ransack.predicates.cont_all,は以下の全てを含む,contains all,包含所有值
ransack.predicates.cont_any,はいずれかを含む,contains any,包含任意一个值
ransack.predicates.does_not_match,は以下と合致していない,doesn't match,不符合
ransack.predicates.does_not_match_all,は以下の全てに合致していない,doesn't match all,不符合所有条件
ransack.predicates.does_not_match_any,は以下のいずれかに合致していない,doesn't match any,符合任意条件
ransack.predicates.end,は以下で終わる,ends with,止于
ransack.predicates.end_all,は以下の全てで終わる,ends with all,止于任意值
ransack.predicates.end_any,は以下のいずれかで終わる,ends with any,止于任一值
ransack.predicates.eq,は以下と等しい,equals,等于
ransack.predicates.eq_all,は以下の全てに等しい,equals all,等于所有值
ransack.predicates.eq_any,は以下のいずれかに等しい,equals any,等于任意值
ransack.predicates.false,偽,is false,等于false
ransack.predicates.gt,は以下より大きい,greater than,大于
ransack.predicates.gt_all,は以下の全てより大きい,greater than all,大于所有值
ransack.predicates.gt_any,は以下のいずれかより大きい,greater than any,大于任意一个值
ransack.predicates.gteq,は以下より大きいか等しい,greater than or equal to,大于等于
ransack.predicates.gteq_all,は以下の全てより大きいか等しい,greater than or equal to all,大于等于所有值
ransack.predicates.gteq_any,は以下のいずれかより大きいか等しい,greater than or equal to any,大于等于任意一个值
ransack.predicates.in,は以下の範囲内である,in,被包含
ransack.predicates.in_all,は以下の全ての範囲内である,in all,被所有值包含
ransack.predicates.in_any,は以下のいずれかの範囲内である,in any,被任意值包含
ransack.predicates.lt,は以下よりも小さい,less than,小于
ransack.predicates.lt_all,は以下の全てよりも小さい,less than all,小于所有值
ransack.predicates.lt_any,は以下のいずれかより小さい,less than any,小于任意一个值
ransack.predicates.lteq,は以下より小さいか等しい,less than or equal to,小于等于
ransack.predicates.lteq_all,は以下の全てより小さいか等しい,less than or equal to all,小于等于所有值
ransack.predicates.lteq_any,は以下のいずれかより小さいか等しい,less than or equal to any,小于等于任意一个值
ransack.predicates.matches,は以下と合致している,matches,符合
ransack.predicates.matches_all,は以下の全てと合致している,matches all,符合所有条件
ransack.predicates.matches_any,は以下のいずれかと合致している,matches any,符合任意条件
ransack.predicates.not_cont,は含まない,doesn't contain,不包含
ransack.predicates.not_cont_all,は以下の全てを含まない,doesn't contain all,不包含所有值
ransack.predicates.not_cont_any,は以下のいずれかを含まない,doesn't contain any,不包含任意一个值
ransack.predicates.not_end,は以下のどれでも終わらない,doesn't end with,非止于
ransack.predicates.not_end_all,は以下の全てで終わらない,doesn't end with all,非止于任意值
ransack.predicates.not_end_any,は以下のいずれかで終わらない,doesn't end with any,非止于任一值
ransack.predicates.not_eq,は以下と等しくない,not equal to,不等于
ransack.predicates.not_eq_all,は以下の全てと等しくない,not equal to all,不等于所有值
ransack.predicates.not_eq_any,は以下のいずれかに等しくない,not equal to any,不等于任意值
ransack.predicates.not_in,は以下の範囲内でない,not in,不被包含
ransack.predicates.not_in_all,は以下の全ての範囲内,not in all,不被所有值包含
ransack.predicates.not_in_any,は以下のいずれかの範囲内でない,not in any,不被任意值包含
ransack.predicates.not_null,は無効ではない,is not null,不是null
ransack.predicates.not_start,は以下で始まらない,doesn't start with,非始于
ransack.predicates.not_start_all,は以下の全てで始まらない,doesn't start with all,非始于任意值
ransack.predicates.not_start_any,は以下のいずれかで始まらない,doesn't start with any,非始于任一值
ransack.predicates.null,無効,is null,是null
ransack.predicates.present,は存在する,is present,有值
ransack.predicates.start,は以下で始まる,starts with,始于
ransack.predicates.start_all,は以下の全てで始まる,starts with all,始于任意值
ransack.predicates.start_any,は以下のどれかで始まる,starts with any,始于任一值
ransack.predicates.true,真,is true,等于true
ransack.search,検索,search,搜索
ransack.sort,分類,sort,排序
ransack.value,値,value,数值
users.ical.ical_title,あなたの授業スケジュール,Your class schedule,你的上课日程
users.ical.ical_description,外部のカレンダーアプリに講義情報を反映させるには、下記のURlを参照してください。,"To reflect the lecture information in the external calendar application, refer to URl below.",要在外部日历应用程序中反映讲座信息，请参阅下面的URl。
users.passwords.edit.title,パスワード再入力,Confirm new password,再输入一遍密码
users.passwords.new.title,初回のパスワードを設定される方 / パスワードを忘れた方,Forgot your password?,把密码忘记了
users.registrations.edit.title,ユーザー設定,User settings,用户设定
users.registrations.new.title,ユーザー登録,Sign up,用户登录
users.sessions.destroy.title,ログアウト,Logout,退出登录
users.sessions.new.title,ログイン,Sign in,登录
users.index.unlock,ロック解除,unlock,开锁
users.index.lock,ロック,Lock,锁
users.index.unlock_confirm,ロックを解除します。よろしいですか？,Unlock it. Is it OK?,解锁它。你确定吗？
users.index.lock_confirm,ロックします。よろしいですか？,Lock it Is it OK?,锁定它你确定吗？
users.index.locked,ロック中,Locked,锁定
users.search.locked,ロック中,Locked,锁定
lectures.index.approval,承認します。よろしいですか？,approve. Is it OK?,我接受你确定吗？
lectures.index.denial,否認します。よろしいですか？,I refuse. Is it OK?,我拒绝。你确定吗？
lectures.index.passback,差戻します。よろしいですか？,Send back. Is it OK?,发回。你确定吗？
lectures.show.cancel,予約を解除します。よろしいですか？,Cancel your reservation. Is it OK?,取消您的预订。你确定吗？
lectures.show.approval,承認します。よろしいですか？,approve. Is it OK?,我接受你确定吗？
lectures.show.denial,否認します。よろしいですか？,I refuse. Is it OK?,我拒绝。你确定吗？
lectures.show.passback,差戻します。よろしいですか？,Send back. Is it OK?,发回。你确定吗？
lectures.show.copy,コピー,copy,复制
lectures.search.absent,担当不在,Not in charge,不负责
lectures.search.bundle,一括,Bulk,体积
lectures.search.bundle_duplication_in_a_week,翌週へ一括複製,Batch replication to the next week,批量复制到下周
lectures.search.notyet_reservation,未予約,Not reserved,不保留
lecture_staffs.show.yen,円,Circle,圈
lecture_staffs.search.output_csv,CSV出力,CSV output,CSV输出
rooms.index.seat,席,seat,座位
rooms.search.bundle,一括,Bulk,体积
rooms.show.seat,席,seat,座位
students.button_create_vip_lecture.addition,追加,add to,加法
courses.show.addition,追加,add to,加法
courses.index.person,人,Man,人
staff_wages.index.default,デフォルト,Default,默认
staff_wages.index.balance,差額,difference,区别
staff_wages.show.yen,円,Circle,圈
klasses.search.in_action,実施中,In action,在行动中
klasses.show.copy,コピー,copy,复制
klasses.show.bundle_addition,一括追加,Bulk addition,批量添加
reserves.calendar_search.search,検索,Search,取回
reserves.calendar_search.start_date,開始日,start date,开始日期
reserves.index.approval,承認します。よろしいですか？,approve. Is it OK?,我接受你确定吗？
reserves.index.denial,否認します。よろしいですか？,I refuse. Is it OK?,我拒绝。你确定吗？
reserves.index.passback,差戻します。よろしいですか？,Send back. Is it OK?,发回。你确定吗？
reserves.show.approval,承認します。よろしいですか？,approve. Is it OK?,我接受你确定吗？
reserves.show.denial,否認します。よろしいですか？,I refuse. Is it OK?,我拒绝。你确定吗？
reserves.show.passback,差戻します。よろしいですか？,Send back. Is it OK?,发回。你确定吗？
shared.model.history.update_history,更新履歴,Change log,更新历史记录
shared.model.history.last_update,最終更新,Last updated,上次更新
shared.model.history.ago,前,Previous,前
shared.model.assoc.total,総件数：,The total number of cases:,总人数：
shared.action.delete_button.delete,削除,Delete,删除
shared.action.delete_button.are_you_sure,を削除します。よろしいですか？,Remove Is it OK?,删除。你确定吗？
shared.action.edit_button.edit,編集,Edit,编辑
shared.action.index_button.index,一覧,List,名单
shared.action.show_button.show,閲覧,Browse,阅读
shared.action.mine_button.mine,自分,myself,我自己
shared.action.new_button.new,追加,add to,加法
shared.form_submit.save,保存,Preservation,存储
shared.js_hidden_text.reserve,予約する,Reserve,预订
shared.js_hidden_text.delete,削除する,delete,要删除
shared.js_hidden_text.alert,30分以上で作成してください,Please create in 30 minutes or more,请在30分钟或更长时间内创建
shared.js_hidden_text.no_available_lecture,選択可能な講義がありません,There is no selectable lecture,没有可选择的讲座
shared.js_hidden_text.select_lecture,講義を選択してください,Please select a lecture,请选择一个讲座
shared.js_hidden_text.confirm,予約を削除しますか？,Do you want to delete the reservation?,要删除预订吗？
shared.js_hidden_text.room_name,教室名,Class name,班级名称
shared.js_hidden_text.capacity,定員,Capacity,容量
activerecord.errors.messages.record_invalid,%{errors},%{errors},%{errors}
activerecord.errors.messages.restrict_dependent_destroy.has_many,%{record}が存在しているので削除できません,"Since %{record} exists, it can not be deleted",由于%{record}存在，因此无法删除
activerecord.errors.messages.restrict_dependent_destroy.has_one,%{record}が存在しているので削除できません,"Since %{record} exists, it can not be deleted",由于%{record}存在，因此无法删除
activerecord.attributes.user.current_password,現在のパスワード,Current password,当前密码
activerecord.attributes.user.email,メールアドレス,Email,电子邮箱
activerecord.attributes.user.name,名前,name,名字
activerecord.attributes.user.password,パスワード,Password,密码
activerecord.attributes.user.password_confirmation,確認用パスワード,Password confirmation,密码确认
activerecord.attributes.user.remember_me,次回から自動的にログイン,Remember me,记住登录信息
activerecord.attributes.user.auth_token,アクセストークン,Access token,接近令牌
activerecord.attributes.user.current_sign_in_at,最新ログイン日時,Last login date and time,最新登录时间
activerecord.attributes.user.current_sign_in_ip,最新ログインIP,Latest Login IP,最新登录IP
activerecord.attributes.user.encrypted_password,パスワード,password,密码
activerecord.attributes.user.faicon,ban,ban,ban
activerecord.attributes.user.failed_attempts,失敗回数,Number of failures,失败次数
activerecord.attributes.user.last_sign_in_at,最終ログイン日時,Last login date and time,最新登录时间
activerecord.attributes.user.last_sign_in_ip,最終ログインIP,Last Login IP,最新登录IP
activerecord.attributes.user.locked_at,ロック日時,Lock date and time,锁定时间
activerecord.attributes.user.remember_created_at,作成時間,Creation time,创作时间
activerecord.attributes.user.reset_password_sent_at,リセットパスワード時間,Reset password time,重置密码时间
activerecord.attributes.user.reset_password_token,リセットパスワードトークン,Reset password token,重置密码令牌
activerecord.attributes.user.sign_in_count,ログイン回数,Number of logins,登录次数
activerecord.attributes.user.staff,activerecord.models.staff,activerecord.models.staff,activerecord.models.staff
activerecord.attributes.user.unlock_token,ロック解除トークン,Unlock token,解锁令牌
activerecord.attributes.area.buildings,activerecord.models.building,activerecord.models.building,activerecord.models.building
activerecord.attributes.area.faicon,globe,globe,globe
activerecord.attributes.area.klasses,activerecord.models.klass,activerecord.models.klass,activerecord.models.klass
activerecord.attributes.area.province,activerecord.models.province,activerecord.models.province,activerecord.models.province
activerecord.attributes.building.address,アドレス,address,地址
activerecord.attributes.building.area,activerecord.models.area,activerecord.models.area,activerecord.models.area
activerecord.attributes.building.faicon,building,building,building
activerecord.attributes.course.course_category,activerecord.models.course_category,activerecord.models.course_category,activerecord.models.course_category
activerecord.attributes.course.faicon,code-fork,code-fork,code-fork
activerecord.attributes.course.katei,activerecord.models.katei,activerecord.models.katei,activerecord.models.katei
activerecord.attributes.course.klasses,activerecord.models.klass,activerecord.models.klass,activerecord.models.klass
activerecord.attributes.course.students,activerecord.models.student,activerecord.models.student,activerecord.models.student
activerecord.attributes.course.subjects,activerecord.models.subject,activerecord.models.subject,activerecord.models.subject
activerecord.attributes.course_category.courses,activerecord.models.course,activerecord.models.course,activerecord.models.course
activerecord.attributes.course_category.faicon,folder-open,folder-open,文件夹打开
activerecord.attributes.equipment.faicon,legal,legal,legal
activerecord.attributes.equipment/room_equipment.available,利用可能,Available,可以使用
activerecord.attributes.equipment/room_equipment.equipment,activerecord.models.equipment,activerecord.models.equipment,activerecord.models.equipment
activerecord.attributes.equipment/room_equipment.room,activerecord.models.room,activerecord.models.room,activerecord.models.room
activerecord.attributes.katei.course_category,activerecord.models.course_category,activerecord.models.course_category,activerecord.models.course_category
activerecord.attributes.katei.faicon,share-alt,share-alt,共享ALT
activerecord.attributes.katei.price,値段,price,价格
activerecord.attributes.klass.area,activerecord.models.area,activerecord.models.area,activerecord.models.area
activerecord.attributes.klass.course,activerecord.models.course,activerecord.models.course,activerecord.models.course
activerecord.attributes.klass.faicon,users,users,users
activerecord.attributes.klass.finish_date,終了日,End date,结束日期
activerecord.attributes.klass.start_date,開始日,start date,开始日期
activerecord.attributes.klass.students,activerecord.models.student,activerecord.models.student,activerecord.models.student
activerecord.attributes.klass_subject.faicon,book,book,book
activerecord.attributes.klass_subject.hours,講義時間,Lecture time,讲座时间
activerecord.attributes.klass_subject.klass,activerecord.models.klass,activerecord.models.klass,activerecord.models.klass
activerecord.attributes.klass_subject.klass_unlimited,他クラス可,Other classes allowed,可以他班
activerecord.attributes.klass_subject.lecture_num,講義回数,Times,次数
activerecord.attributes.klass_subject.staff,主担任,Principal assignment,主担任
activerecord.attributes.klass_subject.start_time,講義開始時間,Lecture start time,讲座开始时间
activerecord.attributes.klass_subject.subject,activerecord.models.subject,activerecord.models.subject,activerecord.models.subject
activerecord.attributes.klass_subject.total_hours,合計時間,total time,总时间
activerecord.attributes.lecture.confirmed,承認/未/否認,Approval / denial,准许/未/否认
activerecord.attributes.lecture.confirmer,承認者,Authorizer,批准人
activerecord.attributes.lecture.faicon,graduation-cap,graduation-cap,graduation-cap
activerecord.attributes.lecture.finish_time,終了時刻,End time,结束时刻
activerecord.attributes.lecture.klass,activerecord.models.klass,activerecord.models.klass,activerecord.models.klass
activerecord.attributes.lecture.klass_subject,activerecord.models.klass_subject,activerecord.models.klass_subject,activerecord.models.klass_subject
activerecord.attributes.lecture.lecture_staffs,activerecord.models.lecture_staff,activerecord.models.lecture_staff,activerecord.models.lecture_staff
activerecord.attributes.lecture.lecture_time,授業時間,class time,上课时间
activerecord.attributes.lecture.reserve,activerecord.models.reserve,activerecord.models.reserve,activerecord.models.reserve
activerecord.attributes.lecture.staffs,activerecord.models.staff,activerecord.models.staff,activerecord.models.staff
activerecord.attributes.lecture.start_time,開始時刻,Start time,开始时刻
activerecord.attributes.lecture.student,activerecord.models.student,activerecord.models.student,activerecord.models.student
activerecord.attributes.lecture.students,activerecord.models.student,activerecord.models.student,activerecord.models.student
activerecord.attributes.lecture.subject,activerecord.models.subject,activerecord.models.subject,activerecord.models.subject
activerecord.attributes.lecture.subject_type,activerecord.models.subject_type,activerecord.models.subject_type,activerecord.models.subject_type
activerecord.attributes.lecture.time_changeable,時間変更可,Time changeable,时间多变
activerecord.attributes.lecture/lecture_staffs.staff,スタッフ,staff,员工
activerecord.attributes.lecture/work_kinds.faicon,folder-open,folder-open,文件夹打开
activerecord.attributes.lecture/work_kinds.name,業務種別,Business type,业务类型
activerecord.attributes.lecture_staff.confirmed_salary,給料(承認済),Salary (approved),薪酬（已批准）
activerecord.attributes.lecture_staff.extraction_month,抽出月,Extraction month,提取月份
activerecord.attributes.lecture_staff.faicon,user-plus,user-plus,user-plus
activerecord.attributes.lecture_staff.lecture,activerecord.models.lecture,activerecord.models.lecture,activerecord.models.lecture
activerecord.attributes.lecture_staff.lecture_day,授業日,Class day,上课日
activerecord.attributes.lecture_staff.staff,activerecord.models.staff,activerecord.models.staff,activerecord.models.staff
activerecord.attributes.lecture_staff.work_kind,activerecord.models.work_kind,activerecord.models.work_kind,activerecord.models.work_kind
activerecord.attributes.lecture_student.faicon,user,user,user
activerecord.attributes.lecture_student.finished,終了の可否,Whether to terminate,结束可否
activerecord.attributes.lecture_student.lecture,activerecord.models.lecture,activerecord.models.lecture,activerecord.models.lecture
activerecord.attributes.lecture_student.student,activerecord.models.student,activerecord.models.student,activerecord.models.student
activerecord.attributes.reserve.approved,承認/未/否認,Approval / denial,准许/未/否认
activerecord.attributes.reserve.approver,承認者,Authorizer,批准人
activerecord.attributes.reserve.building,activerecord.models.building,activerecord.models.building,activerecord.models.building
activerecord.attributes.reserve.comment,概要,Overview,摘要
activerecord.attributes.reserve.faicon,calendar,calendar,calendar
activerecord.attributes.reserve.finish_time,終了時刻,End time,结束时刻
activerecord.attributes.reserve.lecture,activerecord.models.lecture,activerecord.models.lecture,activerecord.models.lecture
activerecord.attributes.reserve.lecture_time,授業時間,class time,课业时间
activerecord.attributes.reserve.room,activerecord.models.room,activerecord.models.room,activerecord.models.room
activerecord.attributes.reserve.start_time,開始時刻,Start time,开始时刻
activerecord.attributes.role.faicon,lock,lock,lock
activerecord.attributes.role.staffs,activerecord.models.staff,activerecord.models.staff,activerecord.models.staff
activerecord.attributes.room.building,activerecord.models.building,activerecord.models.building,activerecord.models.building
activerecord.attributes.room.equipments,activerecord.models.equipment,activerecord.models.equipment,activerecord.models.equipment
activerecord.attributes.room.faicon,cube,cube,cube
activerecord.attributes.room.room_equipments,備品,Fixtures,设备
activerecord.attributes.room.room_groups,activerecord.models.room_group,activerecord.models.room_group,activerecord.models.room_group
activerecord.attributes.room.seat_number,座席数,Number of seats,坐席数
activerecord.attributes.room.seat_number_gteq,下限数,Lower limit number,下限数量
activerecord.attributes.room.seat_number_lteq,上限数,Upper limit number,上限数量
activerecord.attributes.room.wday_0_close_time,日曜日終了時刻,Sunday end time,星期天结束时间
activerecord.attributes.room.wday_0_open_time,日曜日開始時刻,Sunday start time,星期天开始时间
activerecord.attributes.room.wday_1_close_time,月曜日終了時刻,Monday end time,星期一结束时间
activerecord.attributes.room.wday_1_open_time,月曜日開始時刻,Monday start time,星期一开始时间
activerecord.attributes.room.wday_2_close_time,火曜日終了時刻,Tuesday end time,星期二结束时间
activerecord.attributes.room.wday_2_open_time,火曜日開始時刻,Tuesday start time,星期二开始时间
activerecord.attributes.room.wday_3_close_time,水曜日終了時刻,Wednesday end time,星期三结束时间
activerecord.attributes.room.wday_3_open_time,水曜日開始時刻,Wednesday start time,星期三开始时间
activerecord.attributes.room.wday_4_close_time,木曜日終了時刻,End time on Thursday,星期四结束时间
activerecord.attributes.room.wday_4_open_time,木曜日開始時刻,Thursday start time,星期四开始时间
activerecord.attributes.room.wday_5_close_time,金曜日終了時刻,Friday end time,星期五结束时间
activerecord.attributes.room.wday_5_open_time,金曜日開始時刻,Friday start time,星期五开始时间
activerecord.attributes.room.wday_6_close_time,土曜日終了時刻,Saturday end time,星期六结束时间
