key,ja,en,zh
devise.confirmations.new.resend_confirmation_instructions,アカウント認証メール再送,Resend confirmation instructions,重新发送确认邮件
devise.confirmations.new.send,送信,Send,发报
devise.confirmations.confirmed,アカウントを登録しました。,Your email address has been successfully confirmed.,成功验证您的帐号。您现已登录。
devise.confirmations.send_instructions,アカウントの有効化について数分以内にメールでご連絡します。,You will receive an email with instructions for how to confirm your email address in a few minutes.,您的电子邮箱将在几分钟后收到一封帐号确认邮件。
devise.confirmations.send_paranoid_instructions,あなたのメールアドレスが登録済みの場合、本人確認用のメールが数分以内に送信されます。,"If your email address exists in our database, you will receive an email with instructions for how to confirm your email address in a few minutes.",如果您的邮箱存在于我们的数据库中，您将收到一封确认帐号的邮件。
devise.mailer.confirmation_instructions.action,アカウント認証,Confirm my account,确认我的帐户
devise.mailer.confirmation_instructions.greeting,ようこそ、%{recipient}さん!,Welcome %{recipient}!,欢迎 %{recipient}!
devise.mailer.confirmation_instructions.instruction,次のリンクでメールアドレスの認証が完了します:,You can confirm your account email through the link below:,您可以通过下面的链接确认您的帐户的电子邮件:
devise.mailer.confirmation_instructions.subject,[行知学園ITシステム]アカウントの認証,Confirmation instructions,帐户确认信息
devise.mailer.reset_password_instructions.action,パスワード変更,Change my password,更改我的密码
devise.mailer.reset_password_instructions.greeting,こんにちは、%{recipient}さん!,Hello %{recipient}!,你好 %{recipient}!
devise.mailer.reset_password_instructions.instruction,誰かがパスワードの再設定を希望しました。次のリンクでパスワードの再設定が出来ます。,"Someone has requested a link to change your password, and you can do this through the link below.",有人要求更改密码的链接，您可以通过下面的链接更改密码：
devise.mailer.reset_password_instructions.instruction_2,あなたが希望したのではないのなら、このメールは無視してください。,"If you didn't request this, please ignore this email.",如果您没有要求请求更改密码，请忽略此电子邮件。
devise.mailer.reset_password_instructions.instruction_3,上のリンクにアクセスして新しいパスワードを設定するまで、パスワードは変更されません。,Your password won't change until you access the link above and create a new one.,如果你没有访问上面的链接并更改密码，你的密码就不会被改变。
devise.mailer.reset_password_instructions.subject,[行知学園ITシステム]パスワードの再設定,Reset password instructions,重置密码信息
devise.mailer.unlock_instructions.action,アカウントのロック解除,Unlock my account,帐户解锁
devise.mailer.unlock_instructions.greeting,こんにちは、%{recipient}さん!,Hello %{recipient}!,你好 %{recipient}!
devise.mailer.unlock_instructions.instruction,アカウントのロックを解除するには下のリンクをクリックしてください。,Click the link below to unlock your account:,点击下面的链接到您的帐户解锁:
devise.mailer.unlock_instructions.message,ログイン失敗が繰り返されたため、アカウントはロックされています。,Your account has been locked due to an excessive amount of unsuccessful sign in attempts.,由于多次的不成功的登入尝试，您的帐户已被锁定。
devise.mailer.unlock_instructions.subject,[行知学園ITシステム]アカウントのロック解除,Unlock instructions,帐户解锁信息
devise.mailer.email_changed.subject,[行知学園ITシステム]メールアドレスの変更,Email Changed,电邮已被修改
devise.mailer.password_change.subject,[行知学園ITシステム]パスワード変更,Password Changed,密码已被重置
devise.passwords.edit.change_my_password,パスワードを変更する,Change my password,更改我的密码
devise.passwords.edit.change_your_password,パスワード変更,Change your password,更改您的密码
devise.passwords.edit.confirm_new_password,確認用新しいパスワード,Confirm new password,确认新密码
devise.passwords.edit.new_password,新しいパスワード,New password,新密码
devise.passwords.new.forgot_your_password,パスワードを忘れましたか?,Forgot your password?,忘记密码？
devise.passwords.new.send_me_reset_password_instructions,パスワードの再設定方法を送信する,Send me reset password instructions,请给我发送重设密码的邮件
devise.passwords.no_token,このページにはアクセスできません。パスワード再設定メールのリンクからアクセスされた場合には、URL をご確認ください。,"You can't access this page without coming from a password reset email. If you do come from a password reset email, please make sure you used the full URL provided.",无重置邮件不可访问密码重置页面。如果您是从重置邮件来到了这个页面，请确保您输入的URL完整的。
devise.passwords.send_instructions,パスワードの再設定について数分以内にメールでご連絡いたします。,You will receive an email with instructions on how to reset your password in a few minutes.,几分钟后，您将收到重置密码的电子邮件。
devise.passwords.send_paranoid_instructions,あなたのメールアドレスが登録済みの場合、パスワード再設定用のメールが数分以内に送信されます。,"If your email address exists in our database, you will receive a password recovery link at your email address in a few minutes.",如果您的邮箱存在于我们的数据库中，您将收到一封找回密码的邮件。
devise.passwords.updated,パスワードが正しく変更されました。,Your password has been changed successfully. You are now signed in.,您的密码已修改成功，您现在已登录。
devise.passwords.updated_not_active,パスワードが正しく変更されました。,Your password has been changed successfully.,您的密码已修改成功。
devise.registrations.edit.are_you_sure,本当に良いですか?,Are you sure?,你确定吗？
devise.registrations.edit.cancel_my_account,アカウント削除,Cancel my account,取消我的帐户
devise.registrations.edit.currently_waiting_confirmation_for_email,認証待ちメールアドレス：,Currently waiting confirmation for: %{email},等待 %{email} 的确认
devise.registrations.edit.leave_blank_if_you_don_t_want_to_change_it,空欄のままなら変更しません,leave blank if you don't want to change it,你不想去改变它，不需要填写
devise.registrations.edit.title,%{resource}編集,Edit %{resource},修改 %{resource}
devise.registrations.edit.unhappy,気に入りません,Unhappy,不喜欢
devise.registrations.edit.unneed,パスワード変更をしない場合は、入力の必要はありません。,leave blank if you don't need to change it,你不想去改变它，不需要填写
devise.registrations.edit.update,更新,Update,更新
devise.registrations.edit.we_need_your_current_password_to_confirm_your_changes,変更を反映するには現在のパスワードを入力してください,we need your current password to confirm your changes,我们需要您的当前密码以确认您的更改
devise.registrations.new.sign_up,アカウント登録,Sign up,注册
devise.registrations.destroyed,アカウントを削除しました。,Bye! Your account has been successfully cancelled. We hope to see you again soon.,再见！您的帐户已成功注销。我们希望很快可以再见到您。
devise.registrations.signed_up,アカウント登録が完了しました。,Welcome! You have signed up successfully.,欢迎！您已注册成功。
devise.registrations.signed_up_but_inactive,ログインするためには、アカウントを有効化してください。,"You have signed up successfully. However, we could not sign you in because your account is not yet activated.",您已注册，但尚未激活帐号。
devise.registrations.signed_up_but_locked,アカウントがロックされているためログインできません。,"You have signed up successfully. However, we could not sign you in because your account is locked.",您已注册，但帐号被锁定了。
devise.registrations.signed_up_but_unconfirmed,本人確認用のメールを送信しました。メール内のリンクからアカウントを有効化させてください。,A message with a confirmation link has been sent to your email address. Please follow the link to activate your account.,一封带有确认链接的邮件已经发送至您的邮箱，请检查邮箱（包括垃圾邮箱），并点击该链接激活您的帐号。
devise.registrations.update_needs_confirmation,アカウント情報を変更しました。変更されたメールアドレスの本人確認のため、本人確認用メールより確認処理をおこなってください。,"You updated your account successfully, but we need to verify your new email address. Please check your email and follow the confirm link to confirm your new email address.",信息更新成功，但我们需要验证您的新电子邮件地址，请检查邮箱（包括垃圾邮箱），并点击该链接激活您的帐号。
devise.registrations.updated,アカウント情報を変更しました。,Your account has been updated successfully.,帐号资料更新成功。
devise.sessions.destroy.sign_out,ログアウト,Logout,注销
devise.sessions.new.sign_in,ログイン,Sign in,登录
devise.sessions.already_signed_out,既にログアウト済みです。,Signed out successfully.,已经退出成功。
devise.sessions.signed_in,ログインしました。,Signed in successfully.,登录成功。
devise.sessions.signed_out,ログアウトしました。,Signed out successfully.,退出成功。
devise.shared.links.back,戻る,Back,返回
devise.shared.links.didn_t_receive_confirmation_instructions,アカウント確認のメールを受け取っていませんか?,Didn't receive confirmation instructions?,没有收到确认邮件？
devise.shared.links.didn_t_receive_unlock_instructions,アカウントのロック解除方法のメールを受け取っていませんか?,Didn't receive unlock instructions?,没有收到解锁邮件？
devise.shared.links.forgot_your_password,パスワードを忘れましたか?,Forgot your password?,忘记密码？
devise.shared.links.sign_in,ログイン,Sign in,登录
devise.shared.links.sign_in_with_provider,%{provider}でログイン,Sign in with %{provider},用 %{provider} 登录
devise.shared.links.sign_up,アカウント登録,Sign up,注册
devise.unlocks.new.resend_unlock_instructions,アカウントのロック解除メールを再送,Resend unlock instructions,重发解锁邮件
devise.unlocks.send_instructions,アカウントのロック解除方法を数分以内にメールでご連絡します。,You will receive an email with instructions for how to unlock your account in a few minutes.,几分钟后，您将收到一封解锁帐号的邮件。
devise.unlocks.send_paranoid_instructions,アカウントが見つかった場合、アカウントのロック解除方法を数分以内にメールでご連絡します。,"If your account exists, you will receive an email with instructions for how to unlock it in a few minutes.",如果您的邮箱存在于我们的数据库中，您将收到一封解锁帐号的邮件。
devise.unlocks.unlocked,アカウントをロック解除しました。,Your account has been unlocked successfully. Please sign in to continue.,您的帐号已成功解锁，您现在已登录。
devise.failure.already_authenticated,すでにログインしています。,You are already signed in.,您已经登录。
devise.failure.inactive,アカウントが有効化されていません。メールに記載された手順にしたがって、アカウントを有効化してください。,Your account is not activated yet.,您还没有激活帐户。
devise.failure.invalid,%{authentication_keys}もしくはパスワードが不正です。,Invalid %{authentication_keys} or password.,邮箱或密码错误。
devise.failure.last_attempt,あなたのアカウントがロックされる前に、複数回の操作がおこなわれています。,You have one more attempt before your account is locked.,您还有最后一次尝试机会，再次失败您的帐号将被锁定。
devise.failure.locked,あなたのアカウントはロックされています。,Your account is locked.,您的帐号已被锁定。
devise.failure.not_found_in_database,%{authentication_keys}もしくはパスワードが不正です。,Invalid %{authentication_keys} or password.,邮箱或密码错误。
devise.failure.timeout,セッションがタイムアウトしました。もう一度ログインしてください。,Your session expired. Please sign in again to continue.,您已登录超时，请重新登录。
devise.failure.unauthenticated,アカウント登録もしくはログインしてください。,You need to sign in or sign up before continuing.,继续操作前请注册或者登录。
devise.failure.unconfirmed,メールアドレスの本人確認が必要です。,You have to confirm your email address before continuing.,继续操作前请先确认您的帐号。
devise.omniauth_callbacks.failure,%{kind} アカウントによる認証に失敗しました。理由：（%{reason}）,"Could not authenticate you from %{kind} because ""%{reason}"".",由于%{reason}，无法从%{kind}获得授权。
devise.omniauth_callbacks.success,%{kind} アカウントによる認証に成功しました。,Successfully authenticated from %{kind} account.,成功地从%{kind}获得授权。
views.pagination.first,&laquo; 最初,&laquo; first,&laquo; 第一页
views.pagination.last,最後 &raquo;,Last &raquo;,最后一页 &raquo;
views.pagination.next,次 &rsaquo;,Next &rsaquo;,下一页 &rsaquo;
views.pagination.previous,&lsaquo; 前,&lsaquo; front,&lsaquo; 上一页
views.pagination.truncate,&hellip;,&hellip;,&hellip;
enums.lecture.confirmed.approved,承認,Approval,准许
enums.lecture.confirmed.notyet,未,Not yet,未
enums.lecture.confirmed.unapproved,否認,Denial,否认
enums.paper_trail.version.event.create,作成,Create,创建
enums.paper_trail.version.event.destroy,削除,Delete,删除
enums.paper_trail.version.event.update,更新,update,更新
enums.reserve.approved.approved,承認,Approval,准许
enums.reserve.approved.notyet,未,Not yet,未
enums.reserve.approved.unapproved,否認,Denial,否认
enums.student.application_type.other,他,other,其他
enums.student.application_type.qq,QQ,QQ,QQ
enums.student.application_type.wechat,WeChat,WeChat,微信
enums.student.sex.female,女,woman,女
enums.student.sex.male,男,Man,男
enums.student.sex.other,他,other,其他
enums.student_commission.referral_type.person,個人,Individual,个人
enums.student_commission.referral_type.cache_back,返金,Refund,还款
enums.student_commission.referral_type.inflow,法人,Corporation,公司
attributes.code,コード,code,代码
attributes.created_at,作成日,Created date,建立日期
attributes.creator,作成者,Author,实现者
attributes.creator_id,作成者ID,Author,实现者
attributes.deleted_at,削除日,Deleted date,删除日期
attributes.deleter,削除者,Deleted person,删除者
attributes.deleter_id,削除者,Deleted person,删除者
attributes.description,備考,Remarks,备考
attributes.faicon,bolt,bolt,bolt
attributes.id,ID,ID,ID
attributes.name,名称,name,名称
attributes.updated_at,更新日,Update date,更新日期
attributes.updater,更新者,changer,更新
attributes.updater_id,更新者,changer,更新
attributes.version_comment,変更意図,Change intention,改变意图
simple_form.error_notification.default_message,以下の対応が必要です,The following actions are required,请确认以下错误
simple_form.no,いいえ,No,取消
simple_form.required.html,"<span class=""badge badge-danger ml-1"">必須</span>","<span class=""badge badge-danger ml-1"">Required</span>","<span class=""badge badge-danger ml-1"">必须</span>"
simple_form.yes,はい,Yes,确认
credit_types,"[""Visa"", ""Mastercard"", ""Amex"", ""Diners"", ""Jcb"", ""Solo"", ""Switch"", ""Maestro"", ""Unionpay"", ""Dankort"", ""Rupay"", ""Hipercard"", ""Elo"", ""Mir"", ""Discover""]","[""Visa"", ""Mastercard"", ""Amex"", ""Diners"", ""Jcb"", ""Solo"", ""Switch"", ""Maestro"", ""Unionpay"", ""Dankort"", ""Rupay"", ""Hipercard"", ""Elo"", ""Mir"", ""Discover""]","[""签证"", ""万事达卡"", ""美国运通"", ""食客"", ""JCB"", ""独奏"", ""开关"", ""大师"", ""银联"", ""Dankort"", ""Rupay"", ""Hipercard"", ""ELO"", ""米尔"", ""发现""]"
date.abbr_day_names,"[""日"", ""月"", ""火"", ""水"", ""木"", ""金"", ""土""]","[""Day"", ""Moon"", ""fire"", ""water"", ""wood"", ""Money"", ""soil""]","[""周日"", ""周一"", ""周二"", ""周三"", ""周四"", ""周五"", ""周六""]"
date.abbr_month_names,"[nil, ""1月"", ""2月"", ""3月"", ""4月"", ""5月"", ""6月"", ""7月"", ""8月"", ""9月"", ""10月"", ""11月"", ""12月""]","[nil, ""January"", ""February"", ""In March"", ""April"", ""May"", ""June"", ""July"", ""August"", ""September"", ""October"", ""November"", ""December""]","[nil, ""一月"", ""二月"", ""三月"", ""四月"", ""五月"", ""六月"", ""七月"", ""八月"", ""九月"", ""十月"", ""十一月"", ""十二月""]"
date.day_names,"[""日曜日"", ""月曜日"", ""火曜日"", ""水曜日"", ""木曜日"", ""金曜日"", ""土曜日""]","[""Sunday"", ""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday""]","[""星期天"", ""星期一"", ""星期二"", ""星期三"", ""星期四"", ""星期五"", ""星期六""]"
date.formats.default,%Y/%m/%d(%a),%Y /%m /%d (%a),%Y /%m /%d（%a）
date.formats.long,%Y年%m月%d日(%a),%Y year%m month%d day (%a),%Y年%月份%d天（%a）
date.formats.short,%m/%d,%m /%d,%m /%d
date.month_names,"[nil, ""1月"", ""2月"", ""3月"", ""4月"", ""5月"", ""6月"", ""7月"", ""8月"", ""9月"", ""10月"", ""11月"", ""12月""]","[nil, ""January"", ""February"", ""In March"", ""April"", ""May"", ""June"", ""July"", ""August"", ""September"", ""October"", ""November"", ""December""]","[nil, ""一月"", ""二月"", ""三月"", ""四月"", ""五月"", ""六月"", ""七月"", ""八月"", ""九月"", ""十月"", ""十一月"", ""十二月""]"
date.order,"[:year, :month, :day]","[:year, :month, :day]","[:year, :month, :day]"
datetime.distance_in_words.about_x_hours.one,約1時間,About 1 hour,大约1个小时
datetime.distance_in_words.about_x_hours.other,約%{count}時間,About %{count} hours,大约 %{count} 小时
datetime.distance_in_words.about_x_months.one,約1ヶ月,About 1 month,大约1个月
datetime.distance_in_words.about_x_months.other,約%{count}ヶ月,About %{count} 0 month,大约 %{count} 个月
datetime.distance_in_words.about_x_years.one,約1年,About 1 year,大约1年
datetime.distance_in_words.about_x_years.other,約%{count}年,About %{count} 0 years,大约 %{count} 年
datetime.distance_in_words.almost_x_years.one,1年弱,1 year or less,接近 1年
datetime.distance_in_words.almost_x_years.other,%{count}年弱,%{count},接近 %{count} 年
datetime.distance_in_words.half_a_minute,30秒前後,Around 30 seconds,半分钟
datetime.distance_in_words.less_than_x_minutes.one,1分以内,Within 1 minute,不到1分钟
datetime.distance_in_words.less_than_x_minutes.other,%{count}分以内,within %{count} minutes,不到 %{count} 分钟
datetime.distance_in_words.less_than_x_seconds.one,1秒以内,Within 1 second,不到1秒
datetime.distance_in_words.less_than_x_seconds.other,%{count}秒以内,within %{count} seconds,不到 %{count} 秒
datetime.distance_in_words.over_x_years.one,1年以上,over 1 year,1超过年
datetime.distance_in_words.over_x_years.other,%{count}年以上,More than %{count} years,%{count} 年多
datetime.distance_in_words.x_days.one,1日,1 day,1天
datetime.distance_in_words.x_days.other,%{count}日,%{count} day,%{count}天
datetime.distance_in_words.x_minutes.one,1分,1 minute,1分钟
datetime.distance_in_words.x_minutes.other,%{count}分,%{count}min,%{count} 分钟
datetime.distance_in_words.x_months.one,1ヶ月,1 month,1个月
datetime.distance_in_words.x_months.other,%{count}ヶ月,%{count}month,%{count} 个月
datetime.distance_in_words.x_seconds.one,1秒,1 second,1秒
datetime.distance_in_words.x_seconds.other,%{count}秒,%{count}sec,%{count} 秒
datetime.distance_in_words.x_years.one,1年,1 year,1年
datetime.distance_in_words.x_years.other,%{count}年,%{count}years,%{count} 年
datetime.prompts.day,日,Day,日
datetime.prompts.hour,時,Time,时
datetime.prompts.minute,分,Minute,分
datetime.prompts.month,月,Moon,月
datetime.prompts.second,秒,Seconds,秒
datetime.prompts.year,年,Year,年
number.currency.format.delimiter,",",",",，
number.currency.format.format,%n%u,%n%u,%n%u
number.currency.format.precision,0,0,0
number.currency.format.separator,.,.,。
number.currency.format.significant,false,false,false
number.currency.format.strip_insignificant_zeros,false,false,false
number.currency.format.unit,円,Circle,圈
number.format.delimiter,",",",",，
number.format.precision,3,3,3
number.format.separator,.,.,。
number.format.significant,false,false,false
number.format.strip_insignificant_zeros,false,false,false
number.human.decimal_units.format,%n %u,%n%u,%n %u
number.human.decimal_units.units.billion,十億,a billion,十亿
number.human.decimal_units.units.million,百万,million,百万
number.human.decimal_units.units.quadrillion,千兆,A thousand trillion,千万亿
number.human.decimal_units.units.thousand,千,thousand,一千
number.human.decimal_units.units.trillion,兆,Trillion,兆
number.human.decimal_units.units.unit,名,Name,一个名字
number.human.format.delimiter,"","",""
number.human.format.precision,3,3,3
number.human.format.significant,true,true,true
number.human.format.strip_insignificant_zeros,true,true,true
number.human.storage_units.format,%n%u,%n%u,%n%u
number.human.storage_units.units.byte,バイト,Part-Time Job,字节
number.human.storage_units.units.gb,GB,GB,GB
number.human.storage_units.units.kb,KB,KB,KB
number.human.storage_units.units.mb,MB,MB,MB
number.human.storage_units.units.tb,TB,TB,TB
number.percentage.format.delimiter,"","",""
number.percentage.format.format,%n%,%n%,%n%
number.precision.format.delimiter,"","",""
support.array.last_word_connector,、,",",，
support.array.two_words_connector,、,",",，
support.array.words_connector,、,",",，
time.am,午前,a.m.,上午
time.formats.default,%Y/%m/%d %H:%M:%S,%Y /%m /%d% H:%M:%S,%Y /%m /%d%H：%M：%S
time.formats.long,%Y年%m月%d日(%a) %H時%M分%S秒 %z,%Y year%m month%d day (%a)% H hour%M minute%S second%z,%Y年%m月%d天（%a）%H小时%M分钟%S秒%z
time.formats.short,%y/%m/%d %H:%M,%y /%m /%d%H:%M,%y /%m /%d%H：%M
time.pm,午後,afternoon,下午
controllers.users.lock.flash.notice,ロックしました。,I locked it.,我锁定了它。
controllers.users.unlock.flash.notice,ロックを解除しました。,Unlocked.,的“VE解锁。
controllers.headers.redirect_default(keyword).flash.alert,では社員・学生が見つかりませんでした,No employees / students were found,没有找到员工/学生
controllers.lectures.approve.flash.notice,承認しました。,approved.,它被批准。
controllers.lectures.approve.flash.alert,承認に失敗しました。,Authorization failed.,授权失败。
controllers.lectures.unapprove.flash.notice,否認しました。,I denied it.,我否认了。
controllers.lectures.unapprove.flash.alert,否認に失敗しました。,It failed in denial.,它没有否认。
controllers.lectures.back_confirmed.flash.notice,差戻しました。,I sent it back.,我寄回去了。
controllers.lectures.back_confirmed.flash.alert,差戻に失敗しました。,Failed to send back.,无法发回。
controllers.reserves.approve.flash.notice,承認しました。,approved.,它被批准。
controllers.reserves.approve.flash.alert,承認に失敗しました。,Authorization failed.,授权失败。
controllers.reserves.unapprove.flash.notice,否認しました。,I denied it.,我否认了。
controllers.reserves.unapprove.flash.alert,否認に失敗しました。,It failed in denial.,它没有否认。
controllers.reserves.back_approved.flash.notice,差戻しました。,I sent it back.,我寄回去了。
controllers.reserves.back_approved.flash.alert,差戻に失敗しました。,Failed to send back.,无法发回。
controllers.klasses.bulk_klass_subjects.flash.alert,の生成に失敗しました,Failed to generate,无法生成
